ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
E3F182BB-74B5-4B48-AE60-A7DDE0C83C26,MS000336,Museum  ARMA,0,Ds. Peliatan Jl. Bima,-,Ubud,Kab. Gianyar,Prop. Bali,-8.5231080,115.2637900,0,-,Yayasan ARMA,Khusus,B,1996,-,0,-
5D9711AD-72A7-49A9-948F-7919A813D171,MS000329,Museum Arkeologi (Gedong Arca),0,Jl. Raya Tampaksiring,-,Blahbatuh,Kab. Gianyar,Prop. Bali,-8.5197930,115.2927600,0,-,BP3 Bali ,Khusus,C,1974,-,0,-
8852E75E-83F0-4F9E-9A4D-F87352098379,MS000350,Museum Ida Bagus Marka,0,Desa Kemenuh,-,Sukawati,Kab. Gianyar,Prop. Bali,-8.5581170,115.2876400,0,-,-,-,-,0,-,0,-
85C4F7C3-38AE-44A5-AE69-843BA0EE5C95,MS000341,Museum Marketing 3.0,0,"Jl. Raya Ubud, Bali (di dalam area Museum Puri Lukisan)",-,Ubud,Kab. Gianyar,Prop. Bali,-8.5052430,115.2603030,0,-,SWASTA,Khusus,-,2011,baru,0,-
7D646D1C-C056-43B2-A089-64422176B917,MS000340,Museum Pendet,0,80571Bale Bali,-,Ubud,Kab. Gianyar,Prop. Bali,-8.5193680,115.2634960,0,-,SWASTA,Khusus,C,0,-,0,-
0D6C7C33-BB80-4ED5-9B2D-2C4F6F68A364,MS000335,Museum Puri Lukisan,0,Jl. Raya Ubud,-,Ubud,Kab. Gianyar,Prop. Bali,-8.5072920,115.2630860,0,-,YAYASAN,Khusus,B,0,-,0,-
6C28467D-9586-40B3-BCA9-3AC9719D303E,MS000332,Museum Rudana,0,"Jl. Cok Rai Pudak No. 44, Kel.Paliatan",-,Ubud,Kab. Gianyar,Prop. Bali,-8.5297340,115.2711350,398,-,SWASTA,Khusus,A,1995,-,0,-
E5F42151-72CF-4E39-A8A5-BD734EBB9E71,MS000347,Museum Seni Batuan,0,"Jl Prebangsa, Gg Sunaren 9, Banjar Gede Batuan",-,Sukawati,Kab. Gianyar,Prop. Bali,-8.5856850,115.2805250,0,-,-,Khusus,C,0,-,0,-
A036D94C-0F64-4C1F-B143-777EF107D2FC,MS000518,Museum Wiswakarma,,Jl. Raya Batubulan No. 25,Batubulan,Kec. Sukawati,Kab. Gianyar,Prov. Bali,.0000000,.0000000,,-,,,,,,,
D7A986FC-14C2-415B-BD78-CDF501287F48,MS000331,Neka Art Museum,0,Jl. Raya Sanggingan,-,Ubud,Kab. Gianyar,Prop. Bali,-8.4920610,115.2537580,1501,-,Didirikan 7-7-1982 Yayasan Dharma Seni,Khusus,B,1982,-,0,-
AD71EBAF-D3C0-418B-B95C-2233E72ADA54,MS000519,Njana Tilem Museum,,Jl. Raya Mas No. 162,-,Kec. Ubud,Kab. Gianyar,Prov. Bali,.0000000,.0000000,,-,,,,,,,
C96566D0-6E86-452F-A7E0-190A0945F06A,MS000342,Runa  House  of  Design  & Museum ,0,"Banjar Abiansemal, Lodtunduh",-,Ubud,Kab. Gianyar,Prop. Bali,-8.2075500,114.9639410,0,-,SWASTA,Khusus,B,0,-,0,-
56294D6F-9296-4ABE-BC0E-95913FC969FF,MS000344,The Blanco Renaissance Museum,0,J. Raya Campuhan Desa Sayan,-,Ubud,Kab. Gianyar,Prop. Bali,-8.5056110,115.2541540,70,-,SWASTA/YAYASAN,Khusus,C,0,-,0,-
641963DE-F476-455B-8FCC-7282B0C5EA2F,MS000359,The Soekarno Centre (Museum Presiden Proklamator Dr/ Ir. Soekarno),0,-,-,Tampak siring,Kab. Gianyar,Prop. Bali,-8.4517550,115.3077090,0,-,-,-,-,0,-,0,-
