ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
5F7960ED-FB2F-44C1-BD33-22FE8D9D5671,MS000162,Museum Barli,0,Jl. Prof. Dr. Ir. Sutami No.91,-,Sukasari,Kota Bandung,Prop. Jawa Barat,-6.8782390,107.5875240,0,-,SWASTA,Khusus,C,1992,-,0,-
9BFDCBA2-D4FE-48C1-909E-22A2C4DA1E3F,MS000459,Museum Bio Farma,,Jl. Pasteur No. 28,-,Kec. Sukajadi,Kota Bandung,Prov. Jawa Barat,.0000000,.0000000,,-,,,,,,,
1C8089E7-46D0-4852-8E78-5DA59F293F97,MS000461,Museum Gedung Sate,,"Jl. Diponegoro No.22, Citarum",-,Kec. Bandung Wetan,Kota Bandung,Prov. Jawa Barat,.0000000,.0000000,,-,,,,,,,
7D84B393-A1AD-42A8-B314-7748B470D9C3,MS000060,Museum Geologi Bandung,,Jl. Diponegoro No.57,-,Coblong,Kota Bandung,Jawa Barat,-6.9007040,107.6214780,,,Kementerian ESDM,Khusus,A,1929,,,
41675945-A2A6-4031-9ED5-70E8080AA59B,MS000057,Museum Konperensi Asia Afrika,,Jl. Asia Afrika No.65,-,Sumur Bandung,Kota Bandung,Jawa Barat,-6.9211930,107.6094960,,,Kementerian Luar Negeri,Khusus,A,1980,,,
0E45B327-EBDD-4512-B789-D9BE386233B8,MS000156,Museum Mandala Wangsit Siliwangi,0,Jl. Lembang Nomor 38,-,Sumur Bandung,Kota Bandung,Prop. Jawa Barat,-6.9177360,107.6112550,0,-,ABRI,Khusus,C,1966,-,4176,-
E594DE03-2BD9-407A-976A-4BFCA2EC1128,MS000040,Museum Negeri Provinsi Jawa Barat Sri Baduga,,Jl. BKR. No 185,-,Astananyar,Kota Bandung,Jawa Barat,-6.9377640,107.6034610,6600,,PEMERINTAH PROVINSI,Umum,A,1980,,84155,
FAD9A30C-5D94-4260-8514-B420AC7993DC,MS000184,Museum Pendidikan Nasional Universitas Pendidikan Indonesia,15,Jl. Dr.Setiabudhi No.229 ,-,Sukasari,Kota Bandung,Prop. Jawa Barat,-6.8600030,107.5941650,0,RKAT Universitas,UPI,Khusus,-,2015,Baru,6679,Institut Keguruan Bandung
4AAC793A-7D73-42E7-BD41-DA73924BF2FB,MS000462,Museum Perbendaharaan,,"Gedung Dwi Warna, Kanwil Dirjen Perbendaharaan Jawa Barat, Jl. Diponegoro No.56",Cihaur Geulis,Kec. Bandung Wetan,Kota Bandung,Prov. Jawa Barat,.0000000,.0000000,,-,,,,,,,
A0F3F442-8A0F-4C74-A8DA-9CDEB07C1CDC,MS000173,Museum Perjuangan Rakyat Jawa Barat,0,Jln. Dipatiukur No.48,-,Coblong,Kota Bandung,Prop. Jawa Barat,-6.8934390,107.6184780,0,-,BPKSNT Disbupar Jawa Barat,-,B,1995,-,72040,-
4C772578-BF81-45E7-8A4B-3CD5C96898A3,MS000163,Museum Popo Iskandar ,0,Jl. Dr. Setiabudhi 268,-,Sukasari,Kota Bandung,Prop. Jawa Barat,-6.8878340,107.5982080,0,-,SWASTA,Khusus,-,0,-,0,-
8108E6B2-B80E-4FE7-859C-E767A915934B,MS000155,Museum Pos Indonesia,0,Jl. Cilaki  No.73,-,Bandung Wetan,Kota Bandung,Prop. Jawa Barat,-6.9023660,107.6199720,0,-,PT Pos Indonesia Persero,Khusus,B,1983,-,706,-
2348B1D7-5475-475E-BE35-A342A8CF4D8B,MS000179,Museum Sejarah Etnis Tionghoa di Indonesia,0,-,-,Sumur Bandung,Kota Bandung,Prop. Jawa Barat,-6.9229410,107.6086670,0,-,Yayasan Dana Sosial Priangan Bandung,-,-,2012,Baru,0,-
E6D4207A-87FF-41F1-801C-6671EEA03464,MS000154,Museum Virajati Seskoad,0,Jl. Gatot Subroto  No. 96,-,Lengkong,Kota Bandung,Prop. Jawa Barat,-6.9261320,107.6329720,400,-,ABRI,Khusus,-,1991,-,0,-
