ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
4A33CF6F-A284-4E42-830B-E7DC755614CD,MS000134,Art: 1 New Museum,,"Jl. Rajawali Selatan Raya no. 3 Gn. Sahari Utara, Sawah Besar",-,Sawah Besar,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1469940,106.8402340,,SWASTA,Swasta,khusus,-,2011,Baru,2000,
C9A0C7E9-E930-4EE3-8E39-9B907D1ED89B,MS000089,Museum Alkitab,,Gedung Lembaga Alkitab Indonesia Lt. 2 Jl. Salemba Raya No. 12 Senen,-,Senen,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1408990,106.9025100,6000,YAYASAN LEMBAGA ALKITAB INDONESIA,Yayasan Lembaga Alkitab Indonesia,khusus,B,1954,Lama,,
55C9B159-693F-4B1E-9A7D-79C07EE381AE,MS000061,Museum Artha Suaka,,Gd. Bank Indonesia Lt. 6 Jl. Kebon Sirih No. 82 - 84,-,Menteng,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1827780,106.8264110,,BANK INDONESIA,Bank Indonesia,khusus,-,2006,Baru,,
C72222AC-F8ED-478B-82BB-30250E6447D7,MS000453,Museum Dharma Bhakti Kostrad,,"Jl. Merdeka Timur No.3, RT.2/RW.1",-,Kec. Gambir,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,.0000000,.0000000,,-,,,,,,,
1738F1BC-5849-4B6F-97D9-F0C22EAEDEAE,MS000142,Museum FKUI-Indonesia Museum of Health and Medicine,,Jl. Salemba No.6,-,Senen,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1939590,106.8486230,,FAKULTAS KEDOKTERAN UI,Fakultas Kedokteran UI,khusus,-,,Lama,,
C40E439C-FD31-421D-AD23-E3D3E355AD38,MS000129,Museum Galeri Melaka,,"Jl. Melaka Nomor 7-9, Roa Malaka, Tambora, Kawasan Kota Tua",-,Sawah Besar,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1356960,106.8155740,,PEMERINTAH DAERAH,PEMERINTAH DAERAH,khusus,-,2013,Lama,90,
C73070E3-072D-49D6-9338-606F6BCA7443,MS000051,Museum Jenderal Besar A.H. Nasution,,"Jl. Teuku Umar No. 40,  Menteng",-,Menteng,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1929550,106.8327700,,DINAS SEJARAH ANGKATAN DARAT ,DINAS SEJARAH ANGKATAN DARAT ,Khusus,B,2008,Lama,2000,
6E1B1391-6080-47ED-B165-6A6EA5497C3B,MS000054,Museum Joang’ 45,,Jl. Menteng Raya  No.31,-,Menteng,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1861720,106.8364410,,PEMERINTAH DAERAH,PEMERINTAH DAERAH,Khusus,B,1974,Lama,2400,
991324D5-1CE3-40F6-8E83-B312B7BD2CBB,MS000100,Museum Katedral,,Jl. Katedral 7,-,Sawah Besar,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1691900,106.8329960,,GEREJA KATEDRAL,Gereja Katedral,Khusus,C,1991,Lama,400,
8F1EFBF9-183E-4091-8727-FE7D5E3DA072,MS000149,Museum Kebangkitan Nasional,,Jl. Abdulrahman Saleh  No.26,-,Senen,Kota Jakarta Pusat,D.K.I. Jakarta,-6.1783470,106.8380940,2042,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Khusus,A,1974,Lama,14625,
