ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
1D2791AF-E637-4CF2-A687-962C3133EDEA,MS000085,Museum Adam Malik (tidak aktif),,Jl. Diponegoro No. 29,-,Cilandak,Kota Jakarta Selatan,D.K.I. Jakarta,-6.1995800,106.8377380,,YAYASAN ADAM MALIK,Yayasan Adam Malik,khusus,-,1985,Lama,,
2FFA5520-A076-4A74-B1D4-A4F94FDAA3FA,MS000095,Museum Al-Qur’an,,Jl. Batan I No.2 Lebak Bulus,-,Cilandak,Kota Jakarta Selatan,D.K.I. Jakarta,-6.2908520,106.7712970,,PERGURUAN TINGGI ILMU AL QURAN,Perguruan Tinggi Ilmu Al Quran,Khusus,-,1981,Baru,,
E5957FC2-A50F-410D-B390-4CC6F85B3213,MS000449,Museum Anatomi Universitas Katolik (Unika) Atmajaya,,"Gedung Klara Asisi Lantai 2, Jalan Pluit Raya No. 2",Karet Semanggi,Kec. Setiabudi,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,.0000000,.0000000,,-,,,,,,,
9B03CD40-F0C5-4DB1-BAFF-A24ECDBA81A5,MS000094,Museum Basoeki Abdullah ,20,Jl. Keuangan Raya No.19,-,Cilandak,Kota Jakarta Selatan,D.K.I. Jakarta,-6.2897580,106.7933580,843,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Khusus,A,2001,Lama,300,
3BB21558-15DA-4D25-A306-8C035A9D0C03,MS000452,Museum Ciputra Artpreneur,,"Jl. Prof. DR. Satrio Kav. 3-5, Ciputra World 1, Retail Podium Level 11-13",-,Kec. Kuningan,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,.0000000,.0000000,,-,,,,,,,
D3F6BD8D-5C64-4420-83D6-64644FCB4184,MS000053,Museum Di Tengah Kebun,,Jl. Kemang  Timur  66,-,Mampang Prapatan,Kota Jakarta Selatan,D.K.I. Jakarta,-6.2676280,106.8245130,2800,SWASTA,Swasta,Umum,-,2009,Lama,4200,
D85E4BC1-170E-4D75-AF81-C5AA52CD9A6E,MS000109,Museum DPR RI,,Kompleks Parlemen Gd Nusantara Lt. 2 Jl. Gatot Subroto,-,Kebayoran Baru,Kota Jakarta Selatan,D.K.I. Jakarta,-6.2092810,106.7993420,571,YAYASAN MUSEUM DPR-RI,Yayasan Museum DPR-RI,khusus,-,1997,Baru,,
F8D9DAA6-75B1-4330-BAD6-DA85E1568FBA,MS000125,Museum Harry Darsono,,Jl. Cilandak Tengah No. 71,-,Cilandak,Kota Jakarta Selatan,D.K.I. Jakarta,-6.2892210,106.8018170,,YAYASAN HARI DARSONO,Yayasan Hari Darsono,khusus,-,2001,Lama,,
A93FE774-8272-4672-A980-35A95D165D20,MS000022,Museum Kehutanan  Ir. Djamaludin Suryohadikusumo ,,Gedung Manggala Wanabakti Blok VI Jl. Jend. Gatot Subroto,-,Setia Budi,Kota Jakarta Selatan,D.K.I. Jakarta,-6.2064420,106.7993900,883,KLH DAN KEHUTANAN,KLH dan Kehutanan,Khusus,C,1983,Baru,1466,
E12F5E5B-AD5C-4F53-80B5-931F36F5BAEC,MS000081,Museum Layang-layang,,"Jl. H. Kamang N0. 38, Pondok Labu",-,Cilandak,Kota Jakarta Selatan,D.K.I. Jakarta,-6.3078770,106.7905730,,MERINDO KITES & GALLERY,Merindo Kites & Gallery,Khusus,B,2003,Baru,,
46B01467-450E-4913-9562-3D12095E1BC3,MS000029,Museum Lukisan S. Sujoyono,,Jl. Pasar Minggu Km. 18,-,Pasar Minggu,Kota Jakarta Selatan,D.K.I. Jakarta,-6.1665900,106.8452780,,YAYASAN S. SUDJOJONO CENTER,Yayasan S. Sudjojono Center,Khusus,-,1989,Lama,,
F0EFC5C5-6719-400E-9AC7-178970370265,MS000008,Museum POLRI ,,Jl. Trunojoyo No. 3,-,Kebayoran Baru,Kota Jakarta Selatan,D.K.I. Jakarta,-6.2393720,106.8027980,,BIDANG MUSEUM PUSJARAH POLRI,Bidang Museum Pusjarah POLRI,Khusus,C,2009,Baru,,
EAF7AC06-6810-42DB-8111-C776B22CF4BC,MS000110,Museum Reksa Artha,,Jl. Lebak Bulus No. 1,-,Cilandak,Kota Jakarta Selatan,D.K.I. Jakarta,-6.2970540,106.7858830,,PERUM PERCETAKAN UANG NEGARA,Perum Percetakan Uang Negara,khusus,-,1989,Lama,,
C84F19DF-F87E-4914-827B-D39CFE63B9EC,MS000121,Museum Satria Mandala,,Jl. Gatot Subroto  Kav. 14,-,Setia Budi,Kota Jakarta Selatan,D.K.I. Jakarta,-6.2311510,106.8190830,,PUSJARAH TNI,Pusjarah TNI,Khusus,A,1972,Lama,56670,
744EF7A5-C75D-4FD2-80AA-D12C4C3A10E4,MS000119,Museum Waspada Purbawisesa,,Jl. Gatot Subroto Kav. 16,-,Setia Budi,Kota Jakarta Selatan,D.K.I. Jakarta,-6.2310130,106.8189490,,PUSJARAH TNI,Pusjarah TNI,Khusus,-,1987,Lama,1600,
