ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
3E27F2C6-C170-4132-BB59-598DD39DD84C,MS000049,Museum Asmat,,Kompleks Taman Mini,-,Cipayung,Kota Jakarta Timur,D.K.I. Jakarta,-6.3001030,106.8959610,,YAYASAN HARAPAN KITA,YAYASAN Harapan Kita,Khusus,B,1986,Baru,6500,
9596C596-72CC-4CA0-9B3D-8766C6B2264E,MS000071,Museum Bayt  Al-Qur’an dan Museum Istiqlal,,Kompleks Taman Mini – Jakarta Timur,-,Pasar Rebo,Kota Jakarta Timur,D.K.I. Jakarta,-6.3025620,106.8872550,,KEMENTERIAN AGAMA,KEMENTERIAN AGAMA,Khusus,A,1997,Baru,12000,
FCF615AD-7676-4547-A59C-9BA46CB6773B,MS000090,Museum Burung,,Kompleks Taman Mini,-,Pasar Rebo,Kota Jakarta Timur,D.K.I. Jakarta,-6.3007030,106.9034390,,YAYASAN HARAPAN KITA,YAYASAN Harapan Kita,Khusus,A,1986,Baru,60000,
1FF22796-E364-473C-9DA0-0D2CC2F0908F,MS000006,Museum Dunia Air Tawar,,Kompleks Taman Mini,-,Pasar Rebo,Kota Jakarta Timur,D.K.I. Jakarta,-6.3057890,106.8947910,,BADAN PENGELOLA DAN PENGEMBANGAN TMII,Badan Pengelola dan Pengembangan TMII,Khusus,A,1994,Baru,5500,
D7DDF935-95AE-41F4-8D71-728889E05766,MS000059,Museum Fauna Indonesia  Komodo  dan Taman Reptilia,,Kompleks Taman Mini,-,Cipayung,Kota Jakarta Timur,D.K.I. Jakarta,-6.3037670,106.9010580,150,YAYASAN HARAPAN KITA,YAYASAN Harapan Kita,Khusus,-,1978,Baru,10120,
0E99E31B-983E-42B2-8E0D-D26FCF047A5D,MS000120,Museum Graha Widya Patra (Minyak dan Gas Bumi) ,,Kompleks Taman Mini,-,Cipayung,Kota Jakarta Timur,D.K.I. Jakarta,-6.3038920,106.8992820,,PERTAMINA,PERTAMINA,Khusus,-,1989,Baru,35000,
9B84C649-64AE-478E-9EB3-7DAE2AFAC590,MS000063,Museum Hakka Indonesia,,Kompleks Taman Mini,-,Cipayung,Kota Jakarta Timur,D.K.I. Jakarta,-6.2995770,106.8935890,,BADAN PENGELOLA DAN PENGEMBANGAN TMII,Badan Pengelola dan Pengembangan TMII,khusus,-,2014,baru,5000,
84B089D5-12F1-4E6F-BD44-9AC6B3475328,MS000087,Museum Indonesia,,"Jl. Taman Mini I, Kompleks Taman Mini",-,Pasar Rebo,Kota Jakarta Timur,D.K.I. Jakarta,-6.3010560,106.8913750,,BADAN PENGELOLA DAN PENGEMBANGAN TMII,Badan Pengelola dan Pengembangan TMII,Khusus,B,1980,Baru,7000,
6455DE7E-6AE5-4115-AA47-58FC750DD70E,MS000048,Museum Keprajuritan  ,,"Kompleks Taman Mini, Jl Raya Pondok Gede",-,Cipayung,Kota Jakarta Timur,D.K.I. Jakarta,-6.3056530,106.8967390,,PUSJARAH TNI,Pusjarah TNI,Khusus,C,1987,Baru,4500,
6E066BE2-C62D-447C-894D-93869637B6BA,MS000082,Museum Listrik dan Energi Baru,,"Jl. Raya Taman Mini, Komp. Taman Mini Indonesia Indah ",-,Cipayung,Kota Jakarta Timur,D.K.I. Jakarta,-6.3033740,106.9050150,,PT. PLN (PERSERO) PUSDIKLAT,PT. PLN (Persero) Pusdiklat,Khusus,B,1995,Baru,30000,
