ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
EEBCF7A5-DE93-4189-A40E-0CFBFD0F72CD,MS000294,Museum  Sepuluh  Nopember (UPTD Tugu Pahlawan Surabaya),0,Jl. Pahlawan Surabaya,-,Krembangan,Kota Surabaya,Prop. Jawa Timur,-7.2455140,112.7379590,0,-,PEMKOT,Khusus,B,2000,-,0,-
225E22B2-4614-45A1-B76F-3D1FD3A40ABD,MS000493,Museum dan Pusat Kajian Etnografi Universitas Airlangga,,"Kampus B Universitas Airlangga, Jl. Airlangga, No. 4-6, Airlangga",-,Kec. Gubeng,Kota Surabaya,Prov. Jawa Timur,.0000000,.0000000,,-,,,,,,,
5F10B1C2-4AFA-4A77-A02D-1035C5E2A2E1,MS000495,Museum Dr. Soetomo,,"Jl. Bubutan, No. 85-87",-,Kec. Bubutan,Kota Surabaya,Prov. Jawa Timur,.0000000,.0000000,,-,,,,,,,
04A4DA43-8739-4F20-B524-F8ADE870B451,MS000301,Museum House Of Sampoerna,0,"Taman Sampoerna  6,  RT. 008  RW. 002",-,Pabean Cantian,Kota Surabaya,Prop. Jawa Timur,-7.2306160,112.7343070,0,-,SWASTA,Khusus,A,0,-,0,-
AAF9538A-C3AE-45B7-ABA2-8EBF1654E68B,MS000501,Museum Kanker Indonesia,,Jl. Kayun 16-18 Embong Kaliasin,-,Kec. Genteng,Kota Surabaya,Prov. Jawa Timur,.0000000,.0000000,,-,,,,,,,
E4669003-C790-4A2F-85C2-FF51B5D49E18,MS000295,"Museum Kesehatan Dr. Adhyatma, MPH",0,Jl. Indrapura  17,-,Krembangan,Kota Surabaya,Prop. Jawa Timur,-7.2403570,112.7313830,0,-,Kementerian Kesehatan,Khusus,B,2004,-,0,-
4903560B-BD2A-404F-B654-4D3E64DEA5A6,MS000317,Museum Nahdlatul Ulama,0,Jl. Gayungsari Timur No. 35,-,Gayungan,Kota Surabaya,Prop. Jawa Timur,-7.3382260,112.7238090,0,-,-,-,-,2004,baru,0,-
6547C45B-7129-4F37-AAFD-052E83B77CEA,MS000316,Museum Pendidikan Dokter Surabaya,0,Jl. Dr. Moestopo,-,Tambaksari,Kota Surabaya,Prop. Jawa Timur,-7.2719110,112.7578380,0,-,Universitas Airlangga,-,-,2013,-,0,-
2B27525C-B095-47D1-B1F7-8C13F547E97B,MS000512,Museum Surabaya,,Jl. Tunjungan No.1,-,Kec. Genteng,Kota Surabaya,Prov. Jawa Timur,.0000000,.0000000,,-,,,,,,,
A9F62212-6411-48FA-B0E7-4947CB1DA3F4,MS000513,Museum Teknoform,,Jl. Raya Kedung Baruk No.98,-,Kec. Rungkut,Kota Surabaya,Prov. Jawa Timur,.0000000,.0000000,,-,,,,,,,
376E67FF-9004-45C8-A6E1-F1CF2C9FEA4D,MS000293,Museum TNI-AL “Loka Jala Crana”,0,Komp. Akademi AL,-,Krembangan,Kota Surabaya,Prop. Jawa Timur,-7.2272280,112.7189760,0,-,ABRI,Khusus,B,0,-,0,-
876ACBA4-1562-47BB-B952-0D5314AA215D,MS000318,Museum W.R. Soepratman,0,Jl. Mangga No. 21,-,Tambaksari,Kota Surabaya,Prop. Jawa Timur,-7.2506430,112.7537690,0,-,Pemda,-,-,0,lama,0,-
