ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
24FE6165-30FA-4D36-B617-BE4B3BB76843,MS000221,Museum Batik Danar Hadi ,15,Jl. Brigjend. Slamet Riyadi No.261,-,Laweyan,Kota Surakarta,Prop. Jawa Tengah,-7.5691480,110.8159850,1042,-,SWASTA,Khusus,B,2000,Baru,1017,Raden Haji Santosa
A45CDC9C-1E6E-4C53-AFF1-9D5D2628955E,MS000226,Museum Dullah,0,Jl. Dr. Cipto Mangun Kusumo,-,Laweyan,Kota Surakarta,Prop. Jawa Tengah,-7.2086770,109.9052070,0,-,-,-,-,0,-,0,-
64FBC40E-5D2E-460B-AEBF-9707EB3C2F5C,MS000219,Museum Kasunanan/ Museum Suaka Budaya Kasunanan Surakarta,0,Dalam Keraton Surakarta,-,Laweyan,Kota Surakarta,Prop. Jawa Tengah,-7.5787070,110.8284560,0,-,SWASTA,Khusus,-,0,-,0,-
D7F74BC7-92B9-4F9E-A888-0733FEE6F24F,MS000471,Museum Keraton Surakarta Hadiningrat,,Jl. Sidikoro,Baluwarti,Kec. Pasarkliwon,Kota Surakarta,Prov. Jawa Tengah,.0000000,.0000000,,-,,,,,,,
0ABB4A33-1246-4B41-9EC5-169C3CADB3F6,MS000472,Museum Keris,,Jl. Bhayangkara No.2,-,Kec. Laweyan,Kota Surakarta,Prov. Jawa Tengah,.0000000,.0000000,,-,,,,,,,
93A37FD0-FE3B-4C8E-8F8E-47931826CEED,MS000235,Museum Penyiaran RI,0,-,-,Banjarsari,Kota Surakarta,Prop. Jawa Tengah,-7.5591130,110.8216630,0,-,-,-,-,0,-,0,-
308E805E-9E4A-4F67-9F6B-A2DDCDC4BE8A,MS000205,Museum Puro Mangkunegaran,0,"Jl. Ronggowarsito,",-,Banjarsari,Kota Surakarta,Prop. Jawa Tengah,-7.5678900,110.8219450,0,-,SWASTA,Khusus,-,0,-,0,-
2168797F-8528-4F70-9F63-47E42E1BF8E2,MS000188,Museum Radyapustaka Surakarta,0,"Jl. Brigjen Slamet Riyadi 275, Sriwedari",-,Laweyan,Kota Surakarta,Prop. Jawa Tengah,-7.5687650,110.8143150,0,-,PEMKOT ,Khusus,B,0,-,0,-
FE7CB463-26E6-448C-9CCF-0E42591236F0,MS000479,Museum Samanhoedi,,Jl. K.H. Samanhudi No. 75,Sondokan,Kec. Laweyan,Kota Surakarta,Prov. Jawa Tengah,.0000000,.0000000,,-,,,,,,,
F13C79F0-BF66-4EA9-B61A-F7F98ED009E8,MS000480,Museum UNS,,Lantai 7 Gd. Perpustakaan Universitas Sebelas Maret Jl. Ir. Sutami No. 36A,-,Kec. Jebres,Kota Surakarta,Prov. Jawa Tengah,.0000000,.0000000,,-,,,,,,,
B4084E1A-55BD-4C8D-ADF9-5A5B182FF7DE,MS000484,Tumurun Private Museum,,Jl. Kebangkitan Nasional No.2/4,Sriwedari,Kec. Laweyan,Kota Surakarta,Prov. Jawa Tengah,.0000000,.0000000,,-,,,,,,,
