ID,Kode,Nama,Sdm,Alamat,Kelurahan,Kecamatan,Kabupaten,Propinsi,Lintang,Bujur,Koleksi,Sumber,Pengelola,Tipe,Standar,Tahun,Bangunan,Luas,Pemilik
09528BE1-8596-4CB5-800C-E63FD2480AA2,MS000259,Museum  RS.  Mata  “DR. YAP”,0,"Jl, Cik Di Tiro  No. 5",-,Gondokusuman,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.7801410,110.3741400,900,-,SWASTA,Khusus,C,1997,-,0,-
0FFE37F9-8D3C-4A34-AAD5-233BFD6B33FD,MS000254,Museum Batik Yogyakarta,0,Jl. Dr. Sutomo No. 13 A ,-,Danurejan,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.7959110,110.3771450,0,-,SWASTA,Khusus,A,0,-,0,-
6EE9D218-1999-4695-A24B-380ED167622D,MS000242,Museum Benteng Vrederburg Yogyakarta ,0,Jl. Jenderal Ahmad Yani  No. 6,-,Gondomanan,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8005700,110.3662210,0,-,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Khusus,A,1992,Lama,0,-
5EDDC0A7-F68B-49BF-BC20-E13B7BB3BA49,MS000241,Museum Biologi UGM ,0,Jl. Sultan Agung  No. 22,-,Mergangsan,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8019690,110.3743930,0,-,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Khusus,C,0,-,0,-
370C408F-4CB1-4D15-88AB-9219BC73E1FA,MS000239,Museum Condrokiranan,0,Jl. Trikora No. 6,-,Gondomanan,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8019660,110.3647280,0,-,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Khusus,-,0,-,0,-
971116C5-2588-4BD3-89D6-E36CFCEB4F11,MS000250,Museum Dewantara Kirti Griya,0,Jl. Tamansiswa No. 31,-,Pakualaman,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8055080,110.3780490,3000,-,SWASTA,Khusus,B,1970,-,0,-
3C7C2F42-50ED-416C-B61B-27055F1C442B,MS000247,Museum Gembira Loka,0,KRKB Gembira Loka Jl. Kebun Raya  No. 2,-,Kotagede,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8081640,110.3941440,0,-,PEMDA,Khusus,-,0,-,0,-
B954FE26-6B4F-4DD3-BAF1-81B62FF4C12B,MS000264,Museum Hamengkubuwono  IX,0,"Kompleks Keraton Yogyakarta, Jl. Rotowijayan 1",-,Kraton,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8055830,110.3637430,0,-,Pemerintah Provinsi Yogyakarta,Umum,C,1990,Lama,0,-
444125A5-150C-4A7F-A9DF-BC383A944791,MS000275,Museum Istana Kepresidenan Yogyakarta,0,"Jl. Maloboro, Kompleks Gedung Agung ",-,Gondomanan,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.7923730,110.3662070,0,-,-,-,-,0,-,0,-
1E071820-A381-427B-94A2-68B8CA10E2DF,MS000249,Museum Keraton Yogyakarta,0,"Jl. Rotowijayan  No. 1, / Komp Keraton Ngayogyokarto Hadiningrat",-,Kraton,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8055390,110.3641700,0,-,SWASTA,Khusus,B,0,-,0,-
720737AC-DD70-4EBB-8D6E-EFF84E65771B,MS000265,Museum Kereta Kencana,0,Jl. Kestalan Natawijayan,-,Kraton,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8056750,110.3625960,0,-,Pemerintah Provinsi Yogyakarta,Khusus,C,0,-,0,-
3B61EEC8-C4C8-447D-9221-04FC5307EC18,MS000266,Museum Lukisan,0,Kompleks Keraton Yogyakarta,-,Kraton,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8057900,110.3643480,0,-,-,-,-,0,-,0,-
E6982297-C1AB-44C3-8029-BA4F013337AA,MS000260,Museum Monumen Kesatuan Pergerakan Wanita Indonesia,0,Jl. Laksda Adisucipto No. 88,-,Gondokusuman,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.7840320,110.4091010,0,-,Swasta,Khusus,B,1983,Baru,0,-
EB010E4E-F777-47C4-88B1-DC0C5B35F5DA,MS000255,Museum Monumen Pangeran Diponegoro,0,"Sasana Wiratama, Tegal Redjo Jl. Hos. Cokro Aminoto TR III  No. 430",-,Tegalrejo,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.7871330,110.3512540,100,-,Museum Pemerintah ABRI,Khusus,C,0,-,0,-
40716647-DECB-4C09-A1EC-29DEC3E6078C,MS000281,Museum Pendidikan Anak Kolong Tangga,0,Jl. Sriwedari No. 1. Gedung Taman Budaya lt 2,-,Danurejan,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.7963420,110.3686040,17000,-,Yayasan Anak Dunia Damai,Khusus,B,2008,lama,0,-
585C4D9E-57BB-41AF-8CA6-CF24E84CEBCE,MS000240,Museum Perjuangan Yogyakarta,0,Jl.  Kolonel  Sugiyono  No. 24 ,-,Mergangsan,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8166400,110.3716370,0,-,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Khusus,B,0,-,0,-
4572BBA4-0230-4D81-89DC-6B3BA2976DC5,MS000243,Museum Pura Pakualaman,0,"Kompleks Pura Pakualaman, Jln Sultan Agung",-,Pakualaman,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8007270,110.3761310,0,-,SWASTA,Khusus,-,0,-,0,-
57FB2184-4A6E-488A-9DC8-2C055CCED1F0,MS000246,Museum Pusat TNI-AD Dharma Wiratama,0,Jl. Jenderal Sudirman No.75,-,Gondokusuman,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.7830060,110.3752980,4236,-,Dinas Sejarah Angkatan Darat,Khusus,A,0,-,0,-
7437196D-8435-4481-B04A-EAAF3BAEF649,MS000263,Museum Sandi,0,Gedung Museum Sandi Jl. Faridan Muridan Noto No. 21,-,Gondokusuman,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.7850070,110.3708370,0,-,Lembaga Sandi Negara ,Khusus,B,2008,Baru,0,-
34C8F7FB-DCE0-4FA6-BE24-5BEB3ED9CD5B,MS000261,Museum Sasmita Loka Panglima Besar Sudirman,0,Jl. Bintaran Wetan No. 3,-,Mergangsan,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8026770,110.3753560,599,-,ABRI,Khusus,B,1982,Lama,0,-
BA60FA16-F91D-4B45-B49F-DEB934F91881,MS000238,Museum Sonobudoyo,0,"Jl. Trikora No. 6, Pendowoharjo",-,Gondomanan,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.8014460,110.3621180,43263,-,"DEPDIKBUD (smp. th. 2002), MENBUDPAR (smp th.2005), 1999/2000 dibawah PEMDA",Umum,B,1935,-,0,-
9CF41F13-04A0-4D2A-A5FC-C460D51748DE,MS000262,prehistory Museum (Museum Sangiran) ,0,RE  Martadinata  No. 69,-,Wirobrajan,Kota Yogyakarta,Prop. D.I. Yogyakarta,-7.4557270,110.8338740,0,-,Swasta,Khusus,C,0,-,0,-
